;;;;;Recepcion;;;;Balanza;;;;Darsena 1;;;;;Darsena 2;;;;Camion 1;17155,4432;;;Camion 2;;;;Camion 3;16297,3514;;;Camion 4;;;;Camion 5;16266,5755;;;Camion 6;15191,2049;;;Camion 7;19142,2075;;;Camion 8;;;;Camion 9;16173,6491;;;Camion 10;21034,8441;;
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Atendidos;Estado;Camion;Prox fin atencion;Atendidos;Cola;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion
Llega camion;847;18;17hs 56min 4s;0hs 1min 51s;Libre;----;0hs 0min 0s;1;Ocupado;846;0hs 1min 47s;0;Ocupado;844;0hs 10min 52s;4;Ocupado;845;0hs 13min 42s;1;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;846;18;17hs 57min 51s;0hs 0min 0s;Ocupado;847;0hs 3min 4s;0;Libre;----;..hs ..min ..s;0;Ocupado;844;0hs 9min 5s;4;Ocupado;845;0hs 11min 55s;1;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;848;18;17hs 57min 56s;0hs 7min 9s;Ocupado;847;0hs 3min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;844;0hs 9min 0s;4;Ocupado;845;0hs 11min 50s;1;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Cierre de planta;----;18;18hs 0min 0s;----;Ocupado;847;0hs 0min 56s;1;Libre;----;0hs 0min 0s;0;Ocupado;844;0hs 6min 56s;4;Ocupado;845;0hs 9min 46s;1;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;847;18;18hs 0min 56s;0hs 0min 0s;Ocupado;848;0hs 6min 24;0;Libre;----;0hs 0min 0s;1;Ocupado;844;0hs 6min 0s;4;Ocupado;845;0hs 8min 50s;1;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;844;18;18hs 6min 56s;0hs 0min 0s;Ocupado;848;0hs 0min 24s;0;Ocupado;847;0hs 0min 24s;0;Ocupado;846;0hs 15min 22s;5;Ocupado;845;0hs 2min 49s;1;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;848;18;18hs 7min 21s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;847;0hs 0min 0s;1;Ocupado;846;0hs 14min 58s;5;Ocupado;845;0hs 2min 25s;1;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;847;18;18hs 7min 21s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;848;..hs ..min ..s;0;Ocupado;846;0hs 14min 58s;5;Ocupado;845;0hs 2min 25s;1;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;845;18;18hs 9min 46s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;848;0hs 2min 53s;0;Ocupado;846;0hs 12min 32s;5;Ocupado;847;0hs 12min 32s;2;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;848;18;18hs 12min 40s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Ocupado;846;0hs 9min 39s;5;Ocupado;847;0hs 15min 21s;2;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;846;18;18hs 22min 19s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;848;0hs 18min 37s;6;Ocupado;847;0hs 5min 41s;2;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;847;18;18hs 28min 1s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;848;0hs 12min 55s;6;Libre;----;..hs ..min ..s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;848;18;18hs 40min 57s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Apertura de planta;----;19;5hs -1min 0s;----;Libre;----;----;0;Libre;----;----;0;Libre;----;----;----;Libre;----;----;----;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Apertura de puertas;----;19;12hs 0min 0s;----;Libre;----;----;0;Libre;----;----;0;Libre;----;----;----;Libre;----;----;----;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;849;19;12hs 1min 55s;0hs 3min 55s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;850;19;12hs 5min 51s;0hs 0min 34s;Ocupado;849;0hs 0min 45s;1;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;851;19;12hs 6min 26s;0hs 6min 28s;Ocupado;849;0hs 0min 10s;2;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;849;19;12hs 6min 36s;0hs 0min 0s;Ocupado;850;0hs 3min 34;1;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;850;19;12hs 10min 11s;0hs 0min 0s;Ocupado;851;0hs 6min 35;0;Ocupado;849;0hs 2min 46s;0;Libre;----;0hs 0min 0s;7;Libre;----;0hs 0min 0s;3;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;852;19;12hs 12min 55s;0hs 2min 54s;Ocupado;851;0hs 3min 52s;1;Ocupado;849;0hs 0min 2s;0;Ocupado;850;0hs 15min 23s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;849;19;12hs 12min 57s;0hs 0min 0s;Ocupado;851;0hs 3min 49s;1;Libre;----;..hs ..min ..s;0;Ocupado;850;0hs 15min 21s;7;Libre;----;0hs 0min 0s;3;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;853;19;12hs 15min 50s;0hs 1min 8s;Ocupado;851;0hs 0min 57s;2;Libre;----;0hs 0min 0s;0;Ocupado;850;0hs 12min 28s;7;Ocupado;849;0hs 13min 30s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;851;19;12hs 16min 47s;0hs 0min 0s;Ocupado;852;0hs 6min 48;1;Libre;----;0hs 0min 0s;1;Ocupado;850;0hs 11min 31s;7;Ocupado;849;0hs 12min 33s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;854;19;12hs 16min 59s;0hs 0min 3s;Ocupado;852;0hs 6min 37s;2;Ocupado;851;0hs 6min 47s;0;Ocupado;850;0hs 11min 19s;7;Ocupado;849;0hs 12min 21s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;855;19;12hs 17min 3s;0hs 3min 56s;Ocupado;852;0hs 6min 33s;3;Ocupado;851;0hs 6min 43s;0;Ocupado;850;0hs 11min 15s;7;Ocupado;849;0hs 12min 17s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;856;19;12hs 21min 0s;0hs 1min 1s;Ocupado;852;0hs 2min 36s;4;Ocupado;851;0hs 2min 46s;0;Ocupado;850;0hs 7min 18s;7;Ocupado;849;0hs 8min 20s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;857;19;12hs 22min 2s;0hs 14min 6s;Ocupado;852;0hs 1min 34s;5;Ocupado;851;0hs 1min 44s;0;Ocupado;850;0hs 6min 16s;7;Ocupado;849;0hs 7min 18s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;852;19;12hs 23min 36s;0hs 0min 0s;Ocupado;853;0hs 6min 40;4;Ocupado;851;0hs 0min 10s;0;Ocupado;850;0hs 4min 42s;7;Ocupado;849;0hs 5min 44s;3;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;851;19;12hs 23min 46s;0hs 0min 0s;Ocupado;853;0hs 6min 30s;4;Libre;----;..hs ..min ..s;0;Ocupado;850;0hs 4min 32s;7;Ocupado;849;0hs 5min 34s;3;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;850;19;12hs 28min 18s;0hs 0min 0s;Ocupado;853;0hs 1min 58s;4;Libre;----;0hs 0min 0s;0;Ocupado;852;0hs 17min 31s;8;Ocupado;849;0hs 1min 1s;3;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;849;19;12hs 29min 20s;0hs 0min 0s;Ocupado;853;0hs 0min 56s;4;Libre;----;0hs 0min 0s;0;Ocupado;852;0hs 16min 29s;8;Ocupado;851;0hs 16min 29s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;853;19;12hs 30min 17s;0hs 0min 0s;Ocupado;854;0hs 6min 7;3;Libre;----;0hs 0min 0s;1;Ocupado;852;0hs 15min 33s;8;Ocupado;851;0hs 18min 11s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;858;19;12hs 36min 9s;0hs 6min 28s;Ocupado;854;0hs 0min 16s;4;Ocupado;853;0hs 1min 0s;0;Ocupado;852;0hs 9min 41s;8;Ocupado;851;0hs 12min 19s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;854;19;12hs 36min 25s;0hs 0min 0s;Ocupado;855;0hs 4min 49;3;Ocupado;853;0hs 0min 44s;0;Ocupado;852;0hs 9min 25s;8;Ocupado;851;0hs 12min 3s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;853;19;12hs 37min 9s;0hs 0min 0s;Ocupado;855;0hs 4min 5s;3;Libre;----;..hs ..min ..s;0;Ocupado;852;0hs 8min 41s;8;Ocupado;851;0hs 11min 19s;4;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;855;19;12hs 41min 15s;0hs 0min 0s;Ocupado;856;0hs 3min 30;2;Libre;----;0hs 0min 0s;0;Ocupado;852;0hs 4min 35s;8;Ocupado;851;0hs 7min 13s;4;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;859;19;12hs 42min 38s;0hs 1min 16s;Ocupado;856;0hs 2min 8s;3;Libre;----;0hs 0min 0s;0;Ocupado;852;0hs 3min 12s;8;Ocupado;851;0hs 5min 50s;4;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;860;19;12hs 43min 55s;0hs 7min 28s;Ocupado;856;0hs 0min 51s;4;Libre;----;0hs 0min 0s;0;Ocupado;852;0hs 1min 55s;8;Ocupado;851;0hs 4min 33s;4;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
